#Bola branca, 7 actions - random iluminacao e campo, voltando para o gol - com 9 campos, 500 mil de memoria, fisheye random, input 84x84, exponencial e-greedy
84 249 -2.03449799197 -36.81 0.91 840000 134 243 1 387354
85 245 -2.25804081633 -33.69 0.88 850000 121 241 1 383475
86 280 -1.68457142857 -38.35 0.85 860000 158 278 1 379648
87 251 -1.88860557769 -31.79 0.85 870000 143 247 1 375873
88 262 -2.02641221374 -37.94 0.85 880000 132 260 1 372149
89 251 -2.02390438247 -19.23 0.88 890000 123 249 0 368475
90 261 -1.84582375479 -14.57 0.85 900000 147 260 0 364851
91 245 -2.08514285714 -37.65 0.85 910000 145 242 2 361276
92 245 -2.00628571429 -21.02 0.8 920000 136 243 0 357749
93 248 -2.15213709677 -37.49 0.85 930000 133 240 3 354269
94 236 -2.19961864407 -31.6 0.88 940000 126 231 2 350837
95 276 -1.7493115942 -25.32 0.88 950000 155 273 0 347450
96 269 -1.75799256506 -13.37 0.91 960000 170 266 0 344110
97 273 -1.77798534799 -15.97 0.88 970000 149 271 0 340815
98 296 -1.58638513514 -18.77 0.85 980000 167 295 0 337564
99 268 -1.83182835821 -15.5 0.88 990000 143 265 0 334357
100 262 -1.87038167939 -21.75 0.88 1000000 148 259 0 331193
101 271 -1.76132841328 -10.73 0.82 1010000 150 267 0 328072
102 246 -2.05020325203 -34.87 0.8 1020000 141 243 1 324993
103 283 -1.60985865724 -29.17 0.88 1030000 163 281 1 321956
104 251 -1.98398406375 -36.81 0.88 1040000 141 248 1 318960
105 281 -1.73266903915 -11.29 0.85 1050000 154 277 0 316004
106 256 -1.921171875 -16.48 0.77 1060000 135 254 0 313088
107 266 -1.94026315789 -37.94 0.82 1070000 151 261 3 310211
108 259 -1.96386100386 -36.89 0.85 1080000 149 257 2 307374
109 297 -1.50346801347 -30.43 0.88 1090000 172 295 1 304574
110 291 -1.49738831615 -21.95 0.85 1100000 177 291 0 301812
111 279 -1.68752688172 -37.94 0.82 1110000 165 278 1 299088
112 293 -1.6133447099 -17.52 0.85 1120000 154 292 0 296400
113 349 -1.18922636103 -11.85 0.88 1130000 189 346 0 293749
114 364 -1.02532967033 -9.6 0.88 1140000 216 363 0 291134
115 344 -1.13299418605 -16.53 0.88 1150000 215 343 0 288553
116 310 -1.4935483871 -34.55 0.88 1160000 163 307 1 286008
117 324 -1.32157407407 -24.06 0.91 1170000 181 321 0 283497
118 310 -1.429 -19.21 0.88 1180000 160 308 0 281020
119 305 -1.39101639344 -27.98 0.88 1190000 176 303 0 278576
120 344 -1.25238372093 -35.34 0.88 1200000 193 337 1 276166
121 315 -1.37453968254 -33.51 0.88 1210000 187 309 1 273787
122 320 -1.36234375 -31.71 0.88 1220000 184 315 1 271441
123 308 -1.52399350649 -36.13 0.88 1230000 150 306 1 269127
124 361 -1.03130193906 -11.83 0.88 1240000 208 361 0 266844
125 335 -1.19985074627 -38.66 0.88 1250000 198 331 1 264592
126 273 -1.82223443223 -31.97 0.85 1260000 135 269 1 262370
127 315 -1.33184126984 -36.68 0.88 1270000 190 312 1 260178
128 328 -1.27850609756 -8.75 0.88 1280000 184 327 0 258015
129 314 -1.37573248408 -13.78 0.88 1290000 179 311 0 255882
130 355 -1.07309859155 -32.59 0.91 1300000 212 351 1 253778
131 323 -1.24557275542 -36.88 0.91 1310000 204 320 1 251702
132 341 -1.16592375367 -10.35 0.88 1320000 211 337 0 249654
133 350 -1.11648571429 -11.14 0.88 1330000 199 345 0 247634
134 341 -1.10131964809 -18.71 0.88 1340000 215 340 0 245641
135 322 -1.33177018634 -37.29 0.88 1350000 177 321 1 243675
136 329 -1.26480243161 -31.26 0.91 1360000 182 326 1 241735
137 356 -1.05370786517 -11.62 0.88 1370000 213 354 0 239822
138 325 -1.26763076923 -15.45 0.91 1380000 191 323 0 237934
139 342 -1.16687134503 -9.34 0.88 1390000 188 339 0 236072
140 312 -1.46387820513 -37.98 0.88 1400000 177 311 1 234235
141 368 -0.921467391304 -9.66 0.91 1410000 237 367 0 232423
142 333 -1.23093093093 -10.77 0.88 1420000 184 333 0 230636
143 354 -1.04144067797 -21.43 0.88 1430000 213 354 0 228872
144 365 -0.95895890411 -14.78 0.88 1440000 235 364 0 227132
145 367 -0.941961852861 -30.33 0.88 1450000 233 364 1 225416
146 327 -1.17363914373 -34.99 0.88 1460000 217 325 1 223723
147 384 -0.882239583333 -9.46 0.88 1470000 239 382 0 222053
148 401 -0.781770573566 -8.35 0.91 1480000 263 400 0 220405
149 360 -0.99525 -34.94 0.88 1490000 223 355 2 218780
150 357 -1.03871148459 -35.59 0.88 1500000 230 355 1 217176
151 388 -0.880128865979 -12.71 0.91 1510000 239 387 0 215595
152 360 -0.971777777778 -37.6 0.88 1520000 240 358 1 214034
153 367 -0.91446866485 -32.67 0.88 1530000 247 365 1 212495
154 401 -0.775960099751 -21.98 0.88 1540000 258 400 0 210976
155 391 -0.885652173913 -21.25 0.91 1550000 229 388 0 209478
156 345 -1.15437681159 -37.07 0.88 1560000 211 342 2 208000
157 365 -0.964767123288 -18.17 0.91 1570000 237 363 0 206542
158 394 -0.779263959391 -11.66 0.88 1580000 260 393 0 205104
159 397 -0.809521410579 -10.91 0.88 1590000 246 394 0 203685
160 362 -0.985524861878 -37.34 0.88 1600000 240 359 2 202285
161 381 -0.966194225722 -38.04 0.91 1610000 227 377 1 200904
162 351 -1.0843019943 -37.77 0.88 1620000 213 350 1 199542
163 339 -1.10746312684 -37.26 0.85 1630000 223 335 1 198199
164 365 -1.03942465753 -35.85 0.82 1640000 220 363 1 196873
165 391 -0.789872122762 -30.25 0.88 1650000 261 388 0 195565
166 416 -0.766298076923 -10.32 0.88 1660000 241 414 0 194275
